Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Igneous Hammer,Hand Cannon,Aggressive,Hand Cannon Aggressive,Solar,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,23.48,32.28,92,65,35,37,30,69,95,9,23,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",11.2149,Hand Cannon 11.2149191489484,Hand Cannon Aggressive 11.2149191489484,Igneous Hammer,1,0.95,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Hand Cannon Solar Primary
Loud Lullaby,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.10,30.38,92,53,17,24,23,60,98,8,10,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",8.0854,Hand Cannon 8.08541111887627,Hand Cannon Aggressive 8.08541111887627,Loud Lullaby,1,0.95,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Pure Poetry,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.10,30.38,92,53,23,26,26,60,95,8,15,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",8.9836,Hand Cannon 8.98361220086526,Hand Cannon Aggressive 8.98361220086526,Pure Poetry,1,0.95,0.98,1.00,1.00,0.95,0.95,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Something New,Hand Cannon,Aggressive,Hand Cannon Aggressive,Stasis,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.67,31.17,92,58,27,24,25,60,98,8,23,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",9.0364,Hand Cannon 9.03642903764072,Hand Cannon Aggressive 9.03642903764072,Something New,0.9,0.95,0.95,1.00,0.90,0.95,1.00,FALSE,FALSE,FALSE,Hand Cannon Stasis Primary
The Steady Hand,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.90,31.49,92,60,25,20,20,65,85,8,10,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",8.3369,Hand Cannon 8.33693053627265,Hand Cannon Aggressive 8.33693053627265,The Steady Hand,1,0.95,0.95,1.00,1.00,0.95,0.90,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
True Prophecy,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.115,22.67,31.17,92,58,22,30,22,62,93,9,10,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",8.5859,Hand Cannon 8.58587210787398,Hand Cannon Aggressive 8.58587210787398,True Prophecy,1,0.95,0.95,1.00,1.00,0.95,0.90,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Crimson,Hand Cannon,Crimson,Hand Cannon Crimson,Kinetic,Primary,3250,1.00,386,31,19,1.61,0.87,7,86%,6,1,2.33,1.43,11,3.67,1.38,0.86,14.00,0.00,1.375,1.375,16.000,0.096,21.28,29.26,92,55,80,45,60,75,55,14,15,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Crimson -,Crimson,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Eriana's Vow,Hand Cannon,Eriana's Vow,Hand Cannon Eriana's Vow,Solar,Special,8760,1.00,90,124,78,1.59,0.67,2,50%,1,1,-,1.33,3,-,0.95,0.63,24.00,0.00,1.375,1.375,16.000,0.115,27.50,37.81,100,100,30,23,24,80,100,6,9,24,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Eriana's Vow -,Eriana's Vow,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Solar Special
Hawkmoon,Hand Cannon,Hawkmoon,Hand Cannon Hawkmoon,Kinetic,Primary,8979,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.99,28.86,84,52,63,71,59,93,96,8,26,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Hawkmoon -,Hawkmoon,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Lumina,Hand Cannon,Lumina,Hand Cannon Lumina,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,22.05,30.32,84,63,60,76,61,88,100,12,27,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Lumina -,Lumina,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Malfeasance,Hand Cannon,Malfeasance,Hand Cannon Malfeasance,Kinetic,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,22.24,30.58,78,65,95,24,60,50,98,14,53,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Malfeasance -,Malfeasance,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Future Safe 10,Sword,Adaptive,Sword Adaptive,Solar,Heavy,17272,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,0.95,-,-,-,-,-,-,-,-,60,40,0,0,20,10,60,60,0,46,"""[Heavy Attack] : Launch a heavy uppercut attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Adaptive -,Future Safe 10,,,,,,,,FALSE,TRUE,FALSE,
Gahlran's Right Hand,Auto Rifle,High-Impact,Auto Rifle High-Impact,Kinetic,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,0.80,0.80,17.00,-0.10,1.575,1.475,10.800,0.107,19.57,28.87,33,82,25,45,38,56,85,32,0,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Auto Rifle -,Auto Rifle High-Impact -,Gahlran's Right Hand,,,,,,,,FALSE,TRUE,FALSE,
Gallant Charge,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Solar,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,0.95,0.95,15.00,0.00,1.300,1.3,8.200,0.036,10.11,13.14,95,53,31,27,24,61,76,5,0,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Fusion Rifle -,Fusion Rifle High-Impact -,Gallant Charge,,,,,,,,FALSE,TRUE,FALSE,
Galliard-42 XN7568,Auto Rifle,Adaptive,Auto Rifle Adaptive,Solar,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.10,1.10,17.00,-0.10,1.575,1.475,10.800,0.107,15.29,22.56,21,42,50,56,47,60,70,44,0,16,"""A well-rounded grip, reliable and sturdy."" ",-,Auto Rifle -,Auto Rifle Adaptive -,Galliard-42 XN7568,,,,,,,,FALSE,TRUE,FALSE,
Frontier's Cry,Hand Cannon,Precision,Hand Cannon Precision,Solar,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,20.03,27.54,78,42,59,41,47,75,94,13,44,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",9.4199,Hand Cannon 9.41989726383859,Hand Cannon Precision 9.41989726383859,Frontier's Cry,0.95,0.95,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Hand Cannon Solar Primary
IKELOS_HC_v1.0.2,Hand Cannon,Precision,Hand Cannon Precision,Void,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,19.07,26.22,78,32,55,33,33,75,91,12,35,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",7.4628,Hand Cannon 7.46280505489198,Hand Cannon Precision 7.46280505489198,IKELOS_HC_v1.0.2,0.855,0.95,0.95,0.95,0.90,1.00,1.00,FALSE,FALSE,FALSE,Hand Cannon Void Primary
Nature of the Beast,Hand Cannon,Precision,Hand Cannon Precision,Arc,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,19.17,26.36,78,33,61,35,25,76,80,13,35,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",8.3209,Hand Cannon 8.32093619181922,Hand Cannon Precision 8.32093619181922,Nature of the Beast,0.95,0.95,0.95,0.95,1.00,1.00,0.90,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Posterity,Hand Cannon,Precision,Hand Cannon Precision,Arc,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,19.74,27.15,78,39,60,36,57,79,100,13,35,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",9.0868,Hand Cannon 9.08680710467994,Hand Cannon Precision 9.08680710467994,Posterity,0.95,0.95,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Hand Cannon Arc Primary
Go Figure,Pulse Rifle,Aggressive,Pulse Rifle Aggressive,Kinetic,Primary,2744,1.00,450,26,15,1.72,0.73,8,88%,7,1,2.00,1.60,13,3.25,1.00,1.10,18.00,0.00,1.675,2,16.000,0.080,21.76,36.45,35,72,61,32,40,40,69,40,0,18,"""Hard-hitting four-burst fire."" ",-,Pulse Rifle -,Pulse Rifle Aggressive -,Go Figure,,,,,,,,FALSE,TRUE,FALSE,
Goldtusk,Sword,Lightweight,Sword Lightweight,Solar,Heavy,17369,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,1.00,1.00,-,-,-,-,-,-,-,-,60,20,0,0,20,10,50,74,0,82,"""[Heavy Attack] : Launch a heavy dash attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Lightweight -,Goldtusk,,,,,,,,FALSE,TRUE,FALSE,
Good Bone Structure,Shotgun,Pinpoint Slug,Shotgun Pinpoint Slug,Arc,Special,11894,1.00,64,258,151,1.71,-,1,100%,1,0,-,0.93,2,-,1.10,1.10,12.00,0.00,-,-,-,-,-,-,70,59,50,69,46,35,52,6,0,12,"""Fires a single-slug round. This weapon's recoil pattern is more predictably vertical."" ",-,Shotgun -,Shotgun Pinpoint Slug -,Good Bone Structure,,,,,,,,FALSE,TRUE,FALSE,
Seventh Seraph Officer Revolver,Hand Cannon,Precision,Hand Cannon Precision,Kinetic,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,18.69,25.70,78,28,52,30,49,68,84,12,35,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",7.2914,Hand Cannon 7.29136901225086,Hand Cannon Precision 7.29136901225086,Seventh Seraph Officer Revolver,0.855,0.95,0.95,0.95,0.90,1.00,1.00,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Survivor's Epitaph,Hand Cannon,Precision,Hand Cannon Precision,Kinetic,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,19.07,26.22,78,32,56,43,45,74,83,12,35,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",8.6656,Hand Cannon 8.66555224731428,Hand Cannon Precision 8.66555224731428,Survivor's Epitaph,0.95,0.95,0.95,0.95,1.00,1.00,0.90,FALSE,FALSE,FALSE,Hand Cannon Kinetic Primary
Vulpecula,Hand Cannon,Precision,Hand Cannon Precision,Stasis,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,1.51,0.98,14.00,0.00,1.375,1.375,16.000,0.096,19.07,26.22,78,32,53,29,52,69,97,12,35,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",8.3493,Hand Cannon 8.34931375217582,Hand Cannon Precision 8.34931375217582,Vulpecula,0.95,0.95,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Hand Cannon Stasis Primary
Gunnora's Axe,Shotgun,Pinpoint Slug,Shotgun Pinpoint Slug,Arc,Special,11894,1.00,64,258,151,1.71,-,1,100%,1,0,-,0.93,2,-,1.10,1.10,12.00,0.00,-,-,-,-,-,-,70,70,54,68,53,34,51,6,0,12,"""Fires a single-slug round. This weapon's recoil pattern is more predictably vertical."" ",-,Shotgun -,Shotgun Pinpoint Slug -,Gunnora's Axe,,,,,,,,FALSE,TRUE,FALSE,
Hagakure,Sword,Adaptive,Sword Adaptive,Arc,Heavy,17272,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,0.95,-,-,-,-,-,-,-,-,60,50,0,0,20,10,60,60,0,46,"""[Heavy Attack] : Launch a heavy uppercut attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Adaptive -,Hagakure,,,,,,,,FALSE,TRUE,FALSE,
Sturm,Hand Cannon,Sturm,Hand Cannon Sturm,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.096,22.72,31.24,92,70,51,30,30,50,80,12,12,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Sturm -,Sturm,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Sunshot,Hand Cannon,Sunshot,Hand Cannon Sunshot,Solar,Primary,3541,1.00,150,67,42,1.60,0.80,3,100%,3,0,-,1.60,5,-,1.62,1.02,14.00,0.00,1.375,1.375,16.000,0.096,19.94,27.41,78,41,45,91,72,60,98,12,27,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Sunshot -,Sunshot,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Solar Primary
Halfdan-D,Auto Rifle,High-Impact,Auto Rifle High-Impact,Kinetic,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,0.80,0.80,17.00,-0.10,1.575,1.475,10.800,0.107,19.57,28.87,33,82,28,45,35,60,70,33,0,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Auto Rifle -,Auto Rifle High-Impact -,Halfdan-D,,,,,,,,FALSE,TRUE,FALSE,
Hammerhead,Machine Gun,Adaptive,Machine Gun Adaptive,Void,Heavy,7759,1.00,450,40,29,1.39,0.53,5,100%,5,0,-,0.80,7,-,1.10,1.10,16.00,-0.10,1.575,1.475,10.050,0.107,16.90,24.92,41,64,64,40,64,90,75,59,0,15,"""A well-rounded grip, reliable and sturdy."" ",-,Machine Gun -,Machine Gun Adaptive -,Hammerhead,,,,,,,,FALSE,TRUE,FALSE,
The Last Word,Hand Cannon,The Last Word,Hand Cannon The Last Word,Kinetic,Primary,3965,1.00,225,52,38,1.37,0.80,4,75%,3,1,-,1.33,6,-,1.36,0.89,11.00,0.00,1.375,1.375,16.000,0.096,19.36,26.62,78,35,40,40,80,40,100,8,19,11,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon The Last Word -,The Last Word,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Hard Truths,Submachine Gun,Aggressive,Submachine Gun Aggressive,Kinetic,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,0.95,1.00,15.00,-0.10,1.275,1.175,6.300,0.126,11.97,14.06,22,45,15,52,28,27,80,27,0,14,"""High damage, high recoil."" ",-,Submachine Gun -,Submachine Gun Aggressive -,Hard Truths,,,,,,,,FALSE,TRUE,FALSE,
Thorn,Hand Cannon,Thorn,Hand Cannon Thorn,Kinetic,Primary,4087,1.00,139,73,50,1.46,0.87,3,67%,2,1,-,1.30,4,-,1.67,1.06,14.00,0.00,1.375,1.375,16.000,0.096,20.70,28.47,84,49,55,85,40,85,100,11,21,14,See Exotic box below for more information,-,Hand Cannon -,Hand Cannon Thorn -,Thorn,,,,,,,,FALSE,FALSE,TRUE,Hand Cannon Kinetic Primary
Hawthorne's Field-Forged Shotgun,Shotgun,Lightweight,Shotgun Lightweight,Kinetic,Special,11715,1.00,78,-,19,-,-,11,0%,-,11,-,0.77,2,-,1.10,1.05,12.00,0.00,-,-,-,-,-,-,65,51,37,64,64,45,60,7,0,12,"""Superb handling. Move faster with this weapon equipped."" ",-,Shotgun -,Shotgun Lightweight -,Hawthorne's Field-Forged Shotgun,,,,,,,,FALSE,TRUE,FALSE,
Hazard of the Cast,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.00,1.00,16.00,0.00,1.575,1.575,10.800,0.107,17.65,27.80,29,64,41,44,43,44,69,33,0,16,"""This weapon's recoil pattern is more predictably vertical."" ",-,Auto Rifle -,Auto Rifle Precision -,Hazard of the Cast,,,,,,,,FALSE,TRUE,FALSE,
Stormchaser,Linear Fusion Rifle,Aggressive,Linear Fusion Rifle Aggressive,Arc,Heavy,21722,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,31,48,30,25,62,80,5,10,25,"""Fires a three-round burst""",7.7975,Linear Fusion Rifle 7.79749537938705,Linear Fusion Rifle Aggressive 7.79749537938705,Stormchaser,1,1.05,1.00,1.00,1.00,1.05,1.00,FALSE,FALSE,FALSE,Linear Fusion Rifle Arc Heavy
Arbalest,Linear Fusion Rifle,Arbalest,Linear Fusion Rifle Arbalest,Kinetic,Special,11325,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,56,55,20,28,31,77,5,12,25,See Exotic box below for more information,-,Linear Fusion Rifle -,Linear Fusion Rifle Arbalest -,Arbalest,,,,,,,,FALSE,FALSE,TRUE,Linear Fusion Rifle Kinetic Special
Lorentz Driver,Linear Fusion Rifle,Lorentz Driver,Linear Fusion Rifle Lorentz Driver,Void,Special,11325,1.00,533,497,133,3.74,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,38,52,40,28,22,79,6,1,25,See Exotic box below for more information,-,Linear Fusion Rifle -,Linear Fusion Rifle Lorentz Driver -,Lorentz Driver,,,,,,,,FALSE,FALSE,TRUE,Linear Fusion Rifle Void Special
Cataclysmic,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Solar,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,39,48,31,25,66,70,6,13,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",9.5888,Linear Fusion Rifle 9.58878133848166,Linear Fusion Rifle Precision 9.58878133848166,Cataclysmic,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Linear Fusion Rifle Solar Heavy
Corsair's Wrath,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Solar,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,34,38,24,22,61,74,5,6,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",7.2261,Linear Fusion Rifle 7.22611112886396,Linear Fusion Rifle Precision 7.22611112886396,Corsair's Wrath,1,1.00,0.95,1.00,1.00,1.00,0.90,FALSE,FALSE,FALSE,Linear Fusion Rifle Solar Heavy
Reed's Regret,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Stasis,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,45,48,31,28,66,76,6,14,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",9.5685,Linear Fusion Rifle 9.56847249928699,Linear Fusion Rifle Precision 9.56847249928699,Reed's Regret,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Linear Fusion Rifle Stasis Heavy
Sailspy Pitchglass,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Arc,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,32,42,25,23,60,73,5,15,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",9.3047,Linear Fusion Rifle 9.30473464917451,Linear Fusion Rifle Precision 9.30473464917451,Sailspy Pitchglass,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Linear Fusion Rifle Arc Heavy
Taipan-4fr,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Void,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,48,43,36,29,64,69,5,9,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",9.1913,Linear Fusion Rifle 9.19131608867831,Linear Fusion Rifle Precision 9.19131608867831,Taipan-4fr,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Linear Fusion Rifle Void Heavy
Tarantula,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Arc,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,55,37,25,23,58,65,6,6,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",7.6372,Linear Fusion Rifle 7.63720826498262,Linear Fusion Rifle Precision 7.63720826498262,Tarantula,1,1.00,0.95,1.00,1.00,1.00,0.90,FALSE,FALSE,FALSE,Linear Fusion Rifle Arc Heavy
Threaded Needle,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Void,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,37,47,28,20,62,65,5,6,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",6.7756,Linear Fusion Rifle 6.77557983775955,Linear Fusion Rifle Precision 6.77557983775955,Threaded Needle,0.9,1.00,0.95,1.00,0.90,1.00,1.00,FALSE,FALSE,FALSE,Linear Fusion Rifle Void Heavy
Sleeper Simulant,Linear Fusion Rifle,Sleeper Simulant,Linear Fusion Rifle Sleeper Simulant,Solar,Heavy,21799,1.00,1033,901,747,1.21,1.07,1,0%,0,1,-,1.07,1,-,-,-,25.00,0.00,-,-,-,-,0,0,41,59,54,40,44,57,65,4,9,25,See Exotic box below for more information,-,Linear Fusion Rifle -,Linear Fusion Rifle Sleeper Simulant -,Sleeper Simulant,,,,,,,,FALSE,FALSE,TRUE,Linear Fusion Rifle Solar Heavy
The Queenbreaker,Linear Fusion Rifle,The Queenbreaker,Linear Fusion Rifle The Queenbreaker,Arc,Heavy,14183,1.00,633,326,131,2.49,0.67,1,100%,1,0,-,1.33,2,-,-,-,25.00,0.00,-,-,-,-,0,0,41,50,90,35,60,100,60,5,18,25,See Exotic box below for more information,-,Linear Fusion Rifle -,Linear Fusion Rifle The Queenbreaker -,The Queenbreaker,,,,,,,,FALSE,FALSE,TRUE,Linear Fusion Rifle Arc Heavy
Hoosegow XE5837,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Solar,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,1.00,-,-,-,-,-,-,-,-,75,58,47,44,50,63,80,1,0,20,"""A well-rounded grip, reliable and sturdy."" ",-,Rocket Launcher -,Rocket Launcher Adaptive -,Hoosegow XE5837,,,,,,,,FALSE,TRUE,FALSE,
A Fine Memorial,Machine Gun,Adaptive,Machine Gun Adaptive,Arc,Heavy,7759,1.00,450,40,29,1.39,0.53,5,100%,5,0,-,0.80,7,-,0.87,0.59,16.00,0.00,1.575,1.575,10.050,0.107,14.44,22.74,41,41,37,58,50,61,72,55,6,16,"""A well-rounded grip, reliable and sturdy."" ",8.0473,Machine Gun 8.04727983919571,Machine Gun Adaptive 8.04727983919571,A Fine Memorial,0.99,1.10,0.95,1.10,0.90,1.10,1.00,FALSE,FALSE,FALSE,Machine Gun Arc Heavy
Avalanche,Machine Gun,Adaptive,Machine Gun Adaptive,Solar,Heavy,7759,1.00,450,40,29,1.39,0.53,5,100%,5,0,-,0.80,7,-,0.87,0.59,16.00,-0.10,1.575,1.475,10.050,0.107,15.40,22.72,41,50,40,40,60,90,70,57,6,15,"""A well-rounded grip, reliable and sturdy."" ",8.4599,Machine Gun 8.45988358846427,Machine Gun Adaptive 8.45988358846427,Avalanche,0.99,1.10,0.95,1.10,0.90,1.10,1.00,FALSE,FALSE,FALSE,Machine Gun Solar Heavy
Chain of Command,Machine Gun,Adaptive,Machine Gun Adaptive,Stasis,Heavy,7759,1.00,450,40,29,1.39,0.53,5,100%,5,0,-,0.80,7,-,0.87,0.59,16.00,0.00,1.575,1.575,10.050,0.107,14.65,23.08,41,43,37,56,46,61,74,52,10,16,"""A well-rounded grip, reliable and sturdy."" ",8.7306,Machine Gun 8.73058436069365,Machine Gun Adaptive 8.73058436069365,Chain of Command,0.99,1.10,0.95,1.10,0.90,1.10,1.00,FALSE,FALSE,FALSE,Machine Gun Stasis Heavy
Hush,Combat Bow,Precision,Combat Bow Precision,Solar,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,1.20,1.00,-,-,-,-,-,-,-,-,76,79,46,54,46,64,0,1,0,18,"""Compound Bow. Longer draw time optimized for damage."" ",-,Combat Bow -,Combat Bow Precision -,Hush,,,,,,,,FALSE,TRUE,FALSE,
